英文,縮寫,領域,完整繁中名稱,簡稱,補充說明,引用來源
suffix,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
summarize,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
tag,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
testnet,,無特定領域,測試網路,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
third-party,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
timestamp,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
token,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
toolkit,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
transaction,tx,無特定領域,交易,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Transaction Age,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
transaction fee,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
transaction hash,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
transaction pool,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Transaction Priority,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
transaction script,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
tx message,,無特定領域,交易訊息,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
UAE (United Arab Emirates),,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Uncle,,Ethereum,叔區塊,,,
uncompressed,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
uncompressed private key,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
uncompressed public key,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
unforgeable digital signature,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Uniform Resource Identifier,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
unlocking script,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
unspent transaction output,UTXO,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
UTXO pool,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
UTXO set,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
validation,,無特定領域,驗證,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
vanity address,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
vanity miner,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
vanity pattern,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
verack,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
verified,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
version byte,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
version message,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
version prefix,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
vout index,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
wallet,,無特定領域,錢包,,Bitcoin 錢包大致上可視為 Bitcoin 網路上的實體錢包。錢包實際上包含您的私密金鑰(keys) ，私密金鑰允許您花費在區塊鏈上的比特幣。每個 Bitcoin 錢包都可以告訴您它所掌控的比特幣的總餘額，而且您可支付具體的金額給指定的人，就像使用一個真正的錢包一樣。這不同於信用卡，信用卡由商家向您收款。,https://bitcoin.org/zh_TW/vocabulary
Wallet Import Format,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
web client,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
white paper,,無特定領域,白皮書,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
WIF-compressed,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
